skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Telekinesis	43	sor	telekinesis	12	21																						par1																																																											sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																						1	10		none												SC	SC	xx														1			1									sorceress_telekinesis			6	20														0	1					1	8	7	0	1	1										par2	% chance to knockback/stun											25	Cast Range	35	% chance to knockback/stun																					1				5	2	109		8															ltng	1	1	1	1	1	1	2	1	1	1	1	1									384	3000	0
Frost Nova	44	sor	frost nova		22													frostnova	frostnova	frostnova																																																																		sorceress_cast_cold											ice_cast_2				25						frostnova				0	Missile Velocity Adder							1	6		none												SC	SC	SC																	1			36	10					sorceress_cast_cold			6	20														0	1					1	8	9	1	1											0	Missile Velocity Adder																									10	Damage synergy									1								7															cold	4	6	8	10	12	14	8	7	9	11	13	15	(skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	200	25	25	25				384	3000	0
Ice Blast	45	sor	ice blast												iceblast																																																																							sorceress_cast_cold											ice_cast_1									iceblast													1	6		none												SC	SC	xx																	1			1						sorceress_cast_cold			6	20					Ice Bolt									1	1					1	7	12	1	1																							75	Freeze Length baseline	5	Freeze Length per level									10	Freeze Length synergy	8	Damage synergy									1								7															cold	16	14	28	42	56	70	24	15	29	43	57	71	(skill('Ice Bolt'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	75	5	5	5	(skill('Glacial Spike'.blvl))*par7			384	3000	0
Blaze	46	sor	blaze		23													blaze	blaze	blaze				blaze		dm12																							velocitypercent	ln34																																				sorceress_cast_fire											fire_cast_2									blaze	firewall	firesmall	firemedium										1	3		none												SC	SC	xx																	1			1									12	20					Inferno									0	1					1	7	22	1	1																							50	Buff Duration Min	500	Buff Duration Max	2	Velocity % baseline	2	Velocity % per level							6	Damage synergy									1								4															fire	4	3	5	7	9	11	8	3	6	8	10	12	skill('Warmth'.blvl)*par8								512	8000	0
Fire Ball	47	sor	fire ball												fireball																																																																							sorceress_cast_fire											fire_cast_2									fireball													1	5		none												SC	SC	xx																	1			1						sorceress_cast_fire			12	20					Fire Bolt									1	1					1	7	10	1	1											par1	Explosion Radius											4	Explosion Radius													14	Damage synergy									1								7															fire	12	13	23	28	33	38	28	15	25	30	35	40	(skill('Fire Bolt'.blvl)+skill('Meteor'.blvl))*par8								512	8000	0
Nova	48	sor	nova		22													nova	nova	nova																																																																		sorceress_cast_lightning											light_cast_1				25						nova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																	1			36	10					sorceress_cast_lightning			12	20					Static Field									0	1					1	8	13	1	1											0	Missile Velocity Adder																									5	Damage synergy									1								8															ltng	1	6	7	8	9	10	20	8	9	10	11	12	(skill('Static Field'.blvl))*par8								512	8000	0
Lightning	49	sor	lightning												lightningbolt																																																																							sorceress_cast_lightning											light_cast_1									lightningbolt													1	6		none												SQ	SC	xx	12			1													1			1						sorceress_cast_lightning			12	20					Charged Bolt									1	1					1	7	16	1	1																																					8	Damage synergy									1								8															ltng	1	0	0	0	0	0	40	8	12	20	28	36	(skill('Charged Bolt'.blvl)+skill('Chain Lightning'.blvl)+skill('Nova'.blvl))*par8								512	8000	0
Shiver Armor	50	sor	shiver armor		18																			shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12											attackedinmelee	3																																													sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit									sparkle				10	Sparkle Missile Delay	5	Sparkle Missile Radius	3	Sparkle Missile Height			1	0		none												SC	SC	xx																										sorceress_cast_cold	ice_cast_3		12	20					Ice Blast	Frozen Armor								0	1					1	8	11	0	1	1																						45	Armor % baseline	6	Armor % per level	999999	Buff Duration	300	Buff Duration per level					250	Buff Duration synergy	9	Damage synergy									1								7															cold	12	6	8	10	12	14	16	7	9	11	13	15	(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par8	100		25	50				512	8000	0
Fire Wall	51	sor	fire wall		24													firewallmaker	firewall																																																																			sorceress_cast_fire											fire_cast_2				26						firewallmaker												1	4		none												SC	SC	SC					4				1											1						sorceress_cast_fire			18	20					Blaze							35		0	1					1	8	22	1	1											par1	# of max Fire Walls (oldest is removed when the limit is hit)											0	# of max Fire Walls (oldest is removed when the limit is hit)											1	Damage synergy	4	Damage synergy									1								4															fire	15	9	14	21	21	21	20	9	14	21	21	21	(skill('Warmth'.blvl)*par8+skill('Inferno'.blvl)*par7								640	16000	0
Enchant	52	sor	enchant		25																			enchant		ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht																																																					sorceress_enchant																																	1	4		none												SC	SC	xx												1	1							1			1			sorceress_enchant			18	20					Warmth	Fire Ball								0	1					1	8	25	1	1	1																						999999	Buff Duration baseline	600	Buff Duration per level	33	% Damage for Ranged Weapons									9	Damage synergy									1	20	9						7															fire	16	3	7	11	15	19	20	5	9	13	17	21	(skill('Warmth'.blvl))*par8						1		640	16000	0
Chain Lightning	53	sor	chain lightning		26													chainlightning	chainlightning	chainlightning							par1																																																											sorceress_cast_lightning											light_cast_1				27						chainlightning	chainlightning	chainlightning										1	2		none												SQ	SC	SC	12			1													1			151	96					sorceress_cast_lightning			18	20					Lightning									1	1					1	8	9	1	1											ln34/par5	# of target jump hits											20	Radius of jump to next target			26	# of target jump hits baseline	1	# of target jump hits per level	5	"Every # levels, increase target jump"					4	Damage synergy									1								8															ltng	1	0	0	0	0	0	40	11	13	15	15	15	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Nova'.blvl))*par8								640	16000	0
Teleport	54	sor	teleport		27																																																																																	sorceress_teleport											teleport																				1		1	0		none												SC	SC	xx																				1		1	2			sorceress_teleport	teleport		18	20					Telekinesis									0	1					1	8	24	-1	1																																															1								8																																				640	16000	0
Glacial Spike	55	sor	glacial spike												glacialspike											ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																											sorceress_cast_cold											ice_cast_2									glacialspike													1	7		none												SC	SC	SC																	1			1						sorceress_cast_cold			18	20					Ice Blast									1	1					1	7	20	1	1																							4	Explosion Radius baseline	0	Explosion Radius per level	50	Freeze Length baseline	3	Freeze Length per level					3	Freeze Length synergy	5	Damage synergy									1								7															cold	32	14	26	28	30	32	48	15	27	29	31	33	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Frozen Orb'.blvl))*par8								640	16000	0
Meteor	56	sor	meteor		28													meteorcenter	meteorcenter	meteorcenter							ln12																																																											sorceress_cast_fire				sorceress_meteor							fire_cast_2				28						meteorcenter												1	6		none												SC	SC	xx					4				1								1			1						sorceress_cast_fire	fire_cast_2		24	20					Fire Ball	Fire Wall						30		0	1					1	7	34	1	1											ln12	Explosion Radius											6	Explosion Radius baseline	0	Explosion Radius per level	30	Duration of ground fire baseline	15	Duration of ground fire per level							5	Damage synergy									1								8															fire	80	23	39	79	81	83	100	25	41	81	83	85	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl))*par8								768	32000	0
Thunder Storm	57	sor	thunder storm	13	29													thunderstorm1						thunderstorm		ln12																																																												sorceress_thunder_cast									lightning		light_cast_2						84				thunderstorm1												1	5		none												SC	SC	xx																													24	20					Nova	Chain Lightning								0	1					1	8	19	0	1			1	(100-dm56) * par4/100 + par3																			999999	Buff Duration baseline	600	Buff Duration per level	25	Periodic Damage Rate Min	100	Periodic Damage Rate Multiplier	0	Min % reduction of periodic damage rate	100	Max % reduction of periodic damage rate	17	Radius	7	Damage synergy									1								8															ltng	1	10	10	11	11	11	100	10	10	11	11	11	(skill('Static Field'.blvl))*par8								768	32000	0
Energy Shield	58	sor	energy shield		23																			energyshield		ln12														absorbdamage	24																														74															sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																						1	4		none												SC	SC	xx																													24	20					Teleport	Chain Lightning								0	1					1	8	5	0	1	1										"min(edmn,95)"	Damage % Absorption	par5-skill('Telekinesis'.blvl)	Mana consumed per HP damage (in sixteenths)									999999	Buff Duration baseline	600	Buff Duration per level					32	Mana consumed per HP damage (in sixteenths)															1								8																20	5	2	1	1	1															768	32000	0
Blizzard	59	sor	blizzard		28													blizzardcenter	blizzardcenter	blizzardcenter																																																																		sorceress_cast_cold											ice_cast_3				28						blizzardcenter												1	7		none												SC	SC	xx					4				1								1			1						sorceress_cast_cold	ice_cast_3		24	20					Frost Nova	Glacial Spike						45		0	1					1	8	23	1	1											par1	Radius for Area of Effect	par3	Missile Spawn Rate									7	Radius for Area of Effect			4	Missile Spawn Rate									5	Damage synergy									1								8															cold	45	15	30	45	55	65	75	16	31	46	56	66	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl))*par8	100							768	32000	0
Chilling Armor	60	sor	chilling armor		18													chillingarmorbolt						chillingarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		skill_armor_percent	ln12											hitbymissile	1																																													sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit									chillingarmorbolt												1	5		none												SC	SC	xx																				1						sorceress_cast_cold			24	20					Shiver Armor									0	1					1	8	17	0	1	1																						60	Armor % baseline	9	Armor % per level	999999	Buff Duration	300	Buff Duration per level					250	Buff Duration synergy	9	Damage synergy									1								7															cold	16	8	10	12	14	16	20	9	11	13	15	17	(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par8	100		25	50		1		768	32000	0
Fire Mastery	61	sor	fire mastery																																											firemastery			passive_fire_mastery	ln12																																																																					1	3		none												SC	SC	xx																													30	20														0	0					0	8	0	0	1								1															30	Damage % baseline	7	Damage % per level																					1								8															fire																					896	64000	0
Hydra	62	sor	hydra	14	144																																												passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)																	hydra1	hydra	par3	S2	HydraMissile	lvl	Fire Bolt	skill('Fire Bolt'.blvl)	Fire Ball	skill('Fire Ball'.blvl)							1	sorceress_cast_fire											fire_cast_2			17																			1	7		none												SC	SC	S1					4															1				1		sorceress_cast_fire	fire_cast_2		30	20					Enchant									0	1					1	7	40	1	1											ln12	Duration											250	Duration baseline	0	Duration per level	18	# of max Hydras (oldest is removed when the limit is hit)									3	Damage synergy									1								7															fire	28	11	15	19	23	27	39	13	17	21	25	29	(skill('Fire Bolt'.blvl) + skill('Fire Ball'.blvl))*par8								896	64000	0
Lightning Mastery	63	sor	lightning mastery																																											lightningmastery			passive_ltng_mastery	ln12																																																																					1	5		none												SC	SC	xx																													30	20														0	0					0	8	0	0	1								1															50	Damage % baseline	12	Damage % per level																					1								8																																				896	64000	0
Frozen Orb	64	sor	frozen orb												frozenorb																																																																							sorceress_cast_cold											ice_cast_3				29						frozenorb												1	8		none												SC	SC	xx																	1			1						sorceress_cast_cold			30	20					Blizzard									1	1					1	7	50	1	1																																					2	Damage synergy									1								7															cold	80	20	24	28	29	30	90	21	25	29	30	31	(skill('Ice Bolt'.blvl))*par8	200	25	25	25				896	64000	0
Cold Mastery	65	sor	cold mastery																																											coldmastery			passive_cold_pierce	ln12																																																																					1	3		none												SC	SC	xx																													30	20														0	0					0	8	0	0	1								1															20	Cold Resistance reduction baseline	5	Cold Resistance reduction per level																					1								8																																				896	64000	0
Amplify Damage	66	nec	amplify damage		30																		3		amplifydamage	ln34	ln12	damageresist	-par5																																																									necromancer_curse_cast														18	30						curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4															1						necromancer_curse_cast			1	20														0	1					1	8	4	0	1																							3	Radius baseline	1	Radius per level	200	Duration baseline	75	Duration per level	100	Damage Resistance %															1								8																																				256	1000	0
Teeth	67	nec	teeth		8													teeth																																																																				necromancer_bone_cast														19	17						teeth	teeth	bonecast										1	1		none												SC	SC	xx																	1			1						necromancer_bone_cast			1	20														1	1					1	7	6	1	1											"min(ln12,24)"	# of Missiles created	par3	Missile Activation Frame	0	# of missiles that can trigger item modifier events							2	# of Missiles created baseline	1	# of Missiles created per level	0	Missile Activation Frame									15	Damage synergy									1								7															mag	4	2	2	3	4	5	8	2	3	4	5	6	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl))*par8								256	1000	0
Bone Armor	68	nec	bone armor		18																			bonearmor				bonearmor	(ln12 + (skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl)) * par8)*256	bonearmormax	(ln12 + (skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl)) * par8)*256									absorbdamage	22																																													necromancer_bonearmor																																	1	3		none												SC	SC	xx																				1						necromancer_bonearmor			1	20														0	1					1	8	11	1	1	1																						20	Damage absorbed baseline	15	Damage absorbed per level											15	Damage Absorbed synergy									1								8																																				256	1000	0
Skeleton Mastery	69	nec	skeleton mastery																																											skel_mastery																																																																									1	0		none												SC	SC	xx																													1	20					Raise Skeleton									0	0					0	8	0	0	1								1															8	HP per level	2	Damage per level	5	Revive Synergy HP % per level	10	Revive Synergy Damage % per level																	1								8																																				256	1000	0
Raise Skeleton	70	nec	raise skeleton	15	31																							damagepercent	((lvl < 4) ? 0 : ((lvl-3)*par3))	tohit	(lvl+skill('Skeleton Mastery'.lvl))*par4	armorclass	(lvl+skill('Skeleton Mastery'.lvl))*par5																maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256	item_normaldamage	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par2) + edmn																	necroskeleton	skeleton	(lvl < 4) ?lvl:(2+lvl/3)	S1													1	necromancer_golem_cast														20	31						corpseexplosion												1	0		none												SC	SC	xx								1		2	1																		1	20														0	1					1	8	6	1	1											(lvl < 4) ? 0 : (par2 * (lvl - 3))	HP % Modifier	par1	% chance to spawn with a shield (only works for necroskeleton)									5	% chance to spawn with a shield	50	HP % per level	7	Damage % per level	15	Attack Rating per level	15	Armor per level															1								8																0	0	1	2	3	4															256	1000	0
Dim Vision	71	nec	dim vision		30																		2		dimvision	ln34	ln12																																																											necromancer_curse_cast														18	30						cursedimvision		cursecast										1	0		none												SC	SC	xx					4															1						necromancer_curse_cast			6	20														0	1					1	8	9	0	1																							4	Radius baseline	1	Radius per level	175	Duration baseline	50	Duration per level																	1								8																																				384	3000	0
